steepness,alpha,beta,M,M12,Model,CPUE,Total.likelihood,Total.LF,Total.CPUE,Age.length,BH.Steep,CPUE.LL.WCPO,CPUE.Troll,CPUE.LL.EPO,LF.NZ.troll.Samp.14.16,LF.NZ.troll,Maximum.gradient,negvals,Steepness,Frecent.Fmsy,CV.fmsy,SB.SBmsy,SD.SBmsy,Sbrecent.SBF0,SD.depletion,trimodality,bimodality
0.852984793,17.3990625,3.3759375,0.295134748,0.27394748,66,north.WCPO,-41818.61105,-42454.75453,-167.4047013,786.6724143,10.12150052,-85.56529294,-8.429106731,-73.41030167,-130.898237,-4711.808163,4.35E-06,0,0.852984793,0.396353547,0.062272206,2.19,0.17472108,0.383109282,0.049540154,0.147,0.392
0.861164388,17.3990625,3.3759375,0.533229607,0.494949877,67,north.WCPO,-41842.76831,-42465.61548,-178.6202618,787.1756702,7.963160888,-86.15483987,-15.66495828,-76.80046361,-130.6590872,-4707.268757,1.53E-06,0,0.861164388,0.048309179,0.096644536,4.699,0.46714108,0.648034722,0.043356381,0.182,0.357
0.86803484,17.3990625,3.3759375,0.311434095,0.289076723,68,north.WCPO,-41821.63694,-42456.0502,-168.7398477,786.5403057,9.896355964,-85.74830285,-9.231621719,-73.75992308,-130.8844978,-4711.611201,9.33E-07,0,0.86803484,0.320615582,0.064764698,2.401,0.20189317,0.406513557,0.050271779,0.168,0.378
0.910271759,17.3990625,3.3759375,0.506131373,0.469796983,69,north.WCPO,-41841.88312,-42465.17153,-177.9994235,786.7833373,8.128718239,-86.25968513,-15.1854985,-76.55423992,-130.6825536,-4707.806087,3.88E-06,0,0.910271759,0.042735043,0.092685088,5.693,0.55475804,0.626428899,0.044358568,0.189,0.371
0.741972846,17.3990625,3.3759375,0.407666232,0.378400503,70,north.WCPO,-41721.93704,-42541.71402,-177.6231483,984.4452045,7.878561317,-84.57495695,-17.21397216,-75.83421923,-132.8590065,-4758.531673,9.78E-07,0,0.741972846,0.177336407,0.083648796,2.718,0.26742977,0.546396159,0.044126281,0.112,0.51
0.879561969,17.3990625,3.3759375,0.40004169,0.371323315,71,north.WCPO,-41721.36455,-42541.56136,-177.2323698,984.4008197,7.930473979,-84.58582781,-16.99749385,-75.64904813,-132.861946,-4758.677843,1.19E-06,0,0.879561969,0.101010101,0.082419357,3.845,0.37526626,0.549963702,0.046283042,0.112,0.503
0.89815484,17.3990625,3.3759375,0.312585214,0.290145204,72,north.WCPO,-41817.53645,-42461.58809,-169.3633523,796.9340087,9.753086956,-85.27042741,-10.17428815,-73.91863673,-130.5080833,-4705.067546,2.33E-06,0,0.89815484,0.254065041,0.066004211,2.671,0.22053848,0.432177887,0.048963775,0.084,0.35
0.900743017,17.3990625,3.3759375,0.382216079,0.354777377,73,north.WCPO,-41832.21304,-42460.70184,-173.3009903,786.1230983,9.090417686,-86.23009288,-12.05345972,-75.01743766,-130.8026443,-4710.228377,8.23E-07,0,0.900743017,0.140884756,0.076629225,3.409,0.32568864,0.497066231,0.049736489,0.161,0.364
0.862995847,17.3990625,3.3759375,0.293216812,0.27216723,74,north.WCPO,-41818.23548,-42454.59475,-167.2384112,786.6889495,10.15002612,-85.5452172,-8.33359357,-73.35960043,-130.8997871,-4711.831529,9.60E-07,0,0.862995847,0.386996904,0.061952375,2.22,0.17658434,0.381687908,0.049647291,0.147,0.392
0.955507091,17.3990625,3.3759375,0.309020135,0.286836057,75,north.WCPO,-41821.16979,-42455.85648,-168.5381595,786.5661087,9.937998097,-85.74641722,-9.133776563,-73.65796574,-130.8875074,-4711.674907,6.03E-06,0,0.955507091,0.203004466,0.063955977,3.135,0.2550134,0.411812554,0.050034935,0.147,0.385
0.917707898,17.3990625,3.3759375,0.517601787,0.480443955,76,north.WCPO,-41842.30137,-42465.3802,-178.2733163,786.9389365,8.057914806,-86.22295156,-15.39647008,-76.65389465,-130.6727194,-4707.586583,2.50E-06,0,0.917707898,0.03615329,0.094371412,6.283,0.61754719,0.637361679,0.04418714,0.189,0.364
0.788427086,17.3990625,3.3759375,0.336857094,0.312674644,77,north.WCPO,-41821.36532,-42463.13643,-171.1053364,796.7948093,9.428984322,-85.38220677,-11.28600607,-74.43712356,-130.5052215,-4705.009341,2.04E-06,0,0.788427086,0.321543408,0.07023987,2.3,0.19793273,0.452899968,0.047459319,0.077,0.371
0.846722682,17.3990625,3.3759375,0.455285485,0.422601243,78,north.WCPO,-41839.1285,-42463.86235,-176.4915423,786.2904475,8.47303465,-86.3408336,-14.10649841,-76.04421031,-130.7281809,-4708.781345,1.44E-05,0,0.846722682,0.100684656,0.088845155,3.562,0.34925764,0.572439057,0.04554512,0.196,0.343
0.840480742,17.3990625,3.3759375,0.383307125,0.355790099,79,north.WCPO,-41719.98887,-42541.16108,-176.3818085,984.316149,8.086489706,-84.53829488,-16.4746128,-75.36890083,-132.8679601,-4758.943521,3.21E-07,0,0.840480742,0.143184422,0.079553462,3.207,0.30671464,0.527361504,0.046383782,0.119,0.497
